[2018-05-29 13:52:05,263] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000009 已删除！
[2018-05-29 13:52:17,440] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: -11, trsn=100800180525000036 未删除！
[2018-05-29 13:52:45,045] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: -11, trsn=100800180525000035 未删除！
[2018-05-29 13:55:02,307] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000036 已删除！
[2018-05-29 13:55:20,083] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000035 已删除！
[2018-05-29 13:55:20,549] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000014 已删除！
[2018-05-29 13:55:20,980] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000013 已删除！
[2018-05-29 13:55:21,283] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000026 已删除！
[2018-05-29 13:55:26,081] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000029 已删除！
[2018-05-29 13:55:40,096] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000028 已删除！
[2018-05-29 13:55:40,464] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000030 已删除！
[2018-05-29 13:55:40,761] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000016 已删除！
[2018-05-29 13:55:41,029] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000019 已删除！
[2018-05-29 13:55:44,425] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000018 已删除！
[2018-05-29 13:55:56,898] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000021 已删除！
[2018-05-29 13:55:57,143] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180525000020 已删除！
[2018-05-29 13:55:57,412] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=100800180526000042 已删除！
[2018-05-29 13:55:57,656] 16-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 3, trsn=100800180525000041 已删除！
[2018-06-05 14:42:09,899] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=S182300000131 已删除！
[2018-06-05 14:42:59,902] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=S182300000145 已删除！
[2018-06-05 14:43:00,141] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=S182300000143 已删除！
[2018-06-05 14:43:00,398] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=S182300000142 已删除！
[2018-06-05 14:43:00,640] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=S182300000141 已删除！
[2018-06-05 14:43:00,962] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=S182300000139 已删除！
[2018-06-05 14:43:01,237] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=S182300000137 已删除！
[2018-06-05 14:43:01,476] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=S182300000136 已删除！
[2018-06-05 14:43:01,744] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182300000132 已删除！
[2018-06-05 14:43:16,628] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182300000129 已删除！
[2018-06-05 14:43:46,296] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182300000126 已删除！
[2018-06-05 14:43:57,453] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182300000127 已删除！
[2018-06-05 14:44:05,633] 14-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 3, trsn=S182300000128 已删除！
[2018-06-05 15:26:16,557] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 0, trsn=1806020000130 未删除！
[2018-06-05 15:27:28,626] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000130 已删除！
[2018-06-05 15:27:45,303] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000131 已删除！
[2018-06-05 15:27:45,576] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000132 已删除！
[2018-06-05 15:27:45,927] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000133 已删除！
[2018-06-05 15:27:58,665] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000134 已删除！
[2018-06-05 15:28:44,674] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000135 已删除！
[2018-06-05 15:28:45,019] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000136 已删除！
[2018-06-05 15:28:45,373] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000139 已删除！
[2018-06-05 15:28:45,702] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000128 已删除！
[2018-06-05 15:28:45,971] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000137 已删除！
[2018-06-05 15:28:46,245] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000138 已删除！
[2018-06-05 15:28:46,521] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000123 已删除！
[2018-06-05 15:28:46,782] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000124 已删除！
[2018-06-05 15:28:52,587] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000125 已删除！
[2018-06-05 15:29:07,101] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000126 已删除！
[2018-06-05 15:29:07,369] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 1, trsn=1806020000127 已删除！
[2018-06-05 15:29:07,640] 9 -ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 3, trsn=1806020000129 已删除！
[2018-06-05 16:23:54,753] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182200002327 已删除！
[2018-06-05 16:24:01,245] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182200002322 已删除！
[2018-06-05 16:24:05,718] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182200002313 已删除！
[2018-06-05 16:24:09,644] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182200002326 已删除！
[2018-06-05 16:24:13,157] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182200002310 已删除！
[2018-06-05 16:24:22,284] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182200002315 已删除！
[2018-06-05 16:24:38,451] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182200002320 已删除！
[2018-06-05 16:24:41,967] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182200002307 已删除！
[2018-06-05 16:24:46,985] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 2, trsn=S182200002318 已删除！
[2018-06-05 16:24:49,623] 15-ERROR-SelectionFrm             [LKHolder]-LinkHolderMaterial返回类型: 3, trsn=S182200002317 已删除！
[2018-06-20 15:48:53,545] 7 -ERROR-PickFrm                  [CreatePickTask]-CreatePickTask：Could not find specified column in results
[2018-06-20 16:38:36,813] 17-ERROR-PickFrm                  [PartialPickMaterial]-CompletePartialPickByTrSn返回：0
[2018-06-20 16:39:39,393] 17-ERROR-PickFrm                  [PartialPickMaterial]-CompletePartialPickByTrSn返回：0
